2022-03-28 21:03:43,409 - root - INFO : batch_size: 1024, learning_rate: 0.50, max_epoch: 5, activator: sigmoid, layer_list: [285, 16, 2]
2022-03-28 21:03:49,613 - root - INFO : loading data...
2022-03-28 21:07:44,249 - root - INFO : loaded!
2022-03-28 21:07:44,251 - root - INFO : initialize!
2022-03-28 21:07:44,251 - root - INFO : start training!
2022-03-28 21:07:57,640 - root - INFO : train: epoch0, idx0: F1:0.00669 accs0.51151
2022-03-28 21:07:57,640 - root - INFO : eval: epoch0, idx0: F1:0.01399 accs0.55937
2022-03-28 21:08:10,428 - root - INFO : train: epoch0, idx100: F1:0.77483 accs0.77632
2022-03-28 21:08:10,428 - root - INFO : eval: epoch0, idx100: F1:0.65772 accs0.68125
2022-03-28 21:08:23,278 - root - INFO : train: epoch0, idx200: F1:0.75987 accs0.75987
2022-03-28 21:08:23,278 - root - INFO : eval: epoch0, idx200: F1:0.73826 accs0.75625
2022-03-28 21:08:36,112 - root - INFO : train: epoch0, idx300: F1:0.74386 accs0.75987
2022-03-28 21:08:36,113 - root - INFO : eval: epoch0, idx300: F1:0.74919 accs0.75938
2022-03-28 21:08:50,215 - root - INFO : train: epoch0, idx400: F1:0.76109 accs0.76974
2022-03-28 21:08:50,215 - root - INFO : eval: epoch0, idx400: F1:0.71429 accs0.73750
2022-03-28 21:09:03,465 - root - INFO : train: epoch0, idx500: F1:0.72830 accs0.76316
2022-03-28 21:09:03,465 - root - INFO : eval: epoch0, idx500: F1:0.74522 accs0.75000
2022-03-28 21:09:16,345 - root - INFO : train: epoch0, idx600: F1:0.74210 accs0.74507
2022-03-28 21:09:16,346 - root - INFO : eval: epoch0, idx600: F1:0.68810 accs0.69688
2022-03-28 21:09:28,876 - root - INFO : train: epoch1, idx0: F1:0.73409 accs0.73191
2022-03-28 21:09:28,876 - root - INFO : eval: epoch1, idx0: F1:0.73065 accs0.72813
2022-03-28 21:09:41,948 - root - INFO : train: epoch1, idx100: F1:0.72232 accs0.73191
2022-03-28 21:09:41,948 - root - INFO : eval: epoch1, idx100: F1:0.71795 accs0.72500
2022-03-28 21:09:54,688 - root - INFO : train: epoch1, idx200: F1:0.74468 accs0.76316
2022-03-28 21:09:54,688 - root - INFO : eval: epoch1, idx200: F1:0.72857 accs0.76250
2022-03-28 21:10:07,405 - root - INFO : train: epoch1, idx300: F1:0.74957 accs0.75822
2022-03-28 21:10:07,405 - root - INFO : eval: epoch1, idx300: F1:0.74598 accs0.75313
2022-03-28 21:10:20,214 - root - INFO : train: epoch1, idx400: F1:0.73394 accs0.76151
2022-03-28 21:10:20,214 - root - INFO : eval: epoch1, idx400: F1:0.73571 accs0.76875
2022-03-28 21:10:33,008 - root - INFO : train: epoch1, idx500: F1:0.74786 accs0.75822
2022-03-28 21:10:33,009 - root - INFO : eval: epoch1, idx500: F1:0.74126 accs0.76875
2022-03-28 21:10:46,256 - root - INFO : train: epoch1, idx600: F1:0.76239 accs0.77138
2022-03-28 21:10:46,256 - root - INFO : eval: epoch1, idx600: F1:0.72549 accs0.73750
