2022-03-28 21:19:49,811 - root - INFO : batch_size: 1024, learning_rate: 0.50, max_epoch: 5, activator: sigmoid, layer_list: [285, 64, 8, 2]
2022-03-28 21:19:56,237 - root - INFO : loading data...
2022-03-28 21:23:48,656 - root - INFO : loaded!
2022-03-28 21:23:48,658 - root - INFO : initialize!
2022-03-28 21:23:48,658 - root - INFO : start training!
2022-03-28 21:24:01,993 - root - INFO : train: epoch0, idx0: F1:0.00000 accs0.50987
2022-03-28 21:24:01,993 - root - INFO : eval: epoch0, idx0: F1:0.00000 accs0.55625
2022-03-28 21:24:14,931 - root - INFO : train: epoch0, idx100: F1:0.68966 accs0.52632
2022-03-28 21:24:14,931 - root - INFO : eval: epoch0, idx100: F1:0.67220 accs0.50625
2022-03-28 21:24:27,915 - root - INFO : train: epoch0, idx200: F1:0.68541 accs0.52138
2022-03-28 21:24:27,916 - root - INFO : eval: epoch0, idx200: F1:0.65828 accs0.49062
2022-03-28 21:24:41,379 - root - INFO : train: epoch0, idx300: F1:0.72262 accs0.67928
2022-03-28 21:24:41,379 - root - INFO : eval: epoch0, idx300: F1:0.71318 accs0.65312
2022-03-28 21:24:54,153 - root - INFO : train: epoch0, idx400: F1:0.67644 accs0.52796
2022-03-28 21:24:54,154 - root - INFO : eval: epoch0, idx400: F1:0.68261 accs0.54375
2022-03-28 21:25:07,440 - root - INFO : train: epoch0, idx500: F1:0.72830 accs0.76316
2022-03-28 21:25:07,440 - root - INFO : eval: epoch0, idx500: F1:0.74522 accs0.75000
2022-03-28 21:25:20,603 - root - INFO : train: epoch0, idx600: F1:0.74210 accs0.74507
2022-03-28 21:25:20,603 - root - INFO : eval: epoch0, idx600: F1:0.68810 accs0.69688
2022-03-28 21:25:33,207 - root - INFO : train: epoch1, idx0: F1:0.71111 accs0.72204
2022-03-28 21:25:33,207 - root - INFO : eval: epoch1, idx0: F1:0.69707 accs0.70937
2022-03-28 21:25:46,075 - root - INFO : train: epoch1, idx100: F1:0.71918 accs0.73026
2022-03-28 21:25:46,075 - root - INFO : eval: epoch1, idx100: F1:0.71197 accs0.72188
2022-03-28 21:25:59,132 - root - INFO : train: epoch1, idx200: F1:0.75563 accs0.76809
2022-03-28 21:25:59,132 - root - INFO : eval: epoch1, idx200: F1:0.72789 accs0.75000
2022-03-28 21:26:12,518 - root - INFO : train: epoch1, idx300: F1:0.75042 accs0.75822
2022-03-28 21:26:12,518 - root - INFO : eval: epoch1, idx300: F1:0.74839 accs0.75625
2022-03-28 21:26:25,784 - root - INFO : train: epoch1, idx400: F1:0.73358 accs0.75987
2022-03-28 21:26:25,784 - root - INFO : eval: epoch1, idx400: F1:0.74205 accs0.77187
2022-03-28 21:26:39,449 - root - INFO : train: epoch1, idx500: F1:0.75084 accs0.75658
2022-03-28 21:26:39,449 - root - INFO : eval: epoch1, idx500: F1:0.74483 accs0.76875
2022-03-28 21:26:52,757 - root - INFO : train: epoch1, idx600: F1:0.76027 accs0.76974
2022-03-28 21:26:52,757 - root - INFO : eval: epoch1, idx600: F1:0.72787 accs0.74062
2022-03-28 21:27:05,423 - root - INFO : train: epoch2, idx0: F1:0.71914 accs0.74178
2022-03-28 21:27:05,423 - root - INFO : eval: epoch2, idx0: F1:0.76687 accs0.76250
2022-03-28 21:27:18,849 - root - INFO : train: epoch2, idx100: F1:0.76174 accs0.76645
2022-03-28 21:27:18,850 - root - INFO : eval: epoch2, idx100: F1:0.73288 accs0.75625
2022-03-28 21:27:32,071 - root - INFO : train: epoch2, idx200: F1:0.73122 accs0.73520
2022-03-28 21:27:32,072 - root - INFO : eval: epoch2, idx200: F1:0.73750 accs0.73750
2022-03-28 21:27:45,904 - root - INFO : train: epoch2, idx300: F1:0.75084 accs0.75658
2022-03-28 21:27:45,904 - root - INFO : eval: epoch2, idx300: F1:0.72903 accs0.73750
2022-03-28 21:27:59,206 - root - INFO : train: epoch2, idx400: F1:0.73056 accs0.75493
2022-03-28 21:27:59,207 - root - INFO : eval: epoch2, idx400: F1:0.71651 accs0.71562
2022-03-28 21:28:12,485 - root - INFO : train: epoch2, idx500: F1:0.75601 accs0.76645
2022-03-28 21:28:12,485 - root - INFO : eval: epoch2, idx500: F1:0.75601 accs0.77812
2022-03-28 21:28:25,739 - root - INFO : train: epoch2, idx600: F1:0.77651 accs0.77467
2022-03-28 21:28:25,740 - root - INFO : eval: epoch2, idx600: F1:0.77640 accs0.77500
2022-03-28 21:28:38,991 - root - INFO : train: epoch3, idx0: F1:0.78973 accs0.78454
2022-03-28 21:28:38,991 - root - INFO : eval: epoch3, idx0: F1:0.75000 accs0.73750
2022-03-28 21:28:52,223 - root - INFO : train: epoch3, idx100: F1:0.74554 accs0.74178
2022-03-28 21:28:52,223 - root - INFO : eval: epoch3, idx100: F1:0.67820 accs0.70937
2022-03-28 21:29:05,828 - root - INFO : train: epoch3, idx200: F1:0.75542 accs0.74013
2022-03-28 21:29:05,828 - root - INFO : eval: epoch3, idx200: F1:0.75758 accs0.75000
2022-03-28 21:29:18,658 - root - INFO : train: epoch3, idx300: F1:0.73016 accs0.74836
2022-03-28 21:29:18,658 - root - INFO : eval: epoch3, idx300: F1:0.79470 accs0.80625
2022-03-28 21:29:31,635 - root - INFO : train: epoch3, idx400: F1:0.74912 accs0.76645
2022-03-28 21:29:31,635 - root - INFO : eval: epoch3, idx400: F1:0.76375 accs0.77187
2022-03-28 21:29:44,535 - root - INFO : train: epoch3, idx500: F1:0.77211 accs0.77961
2022-03-28 21:29:44,535 - root - INFO : eval: epoch3, idx500: F1:0.72054 accs0.74062
2022-03-28 21:29:57,615 - root - INFO : train: epoch3, idx600: F1:0.78105 accs0.77961
2022-03-28 21:29:57,615 - root - INFO : eval: epoch3, idx600: F1:0.77500 accs0.77500
2022-03-28 21:30:10,473 - root - INFO : train: epoch4, idx0: F1:0.77241 accs0.78289
2022-03-28 21:30:10,474 - root - INFO : eval: epoch4, idx0: F1:0.72956 accs0.73125
2022-03-28 21:30:23,580 - root - INFO : train: epoch4, idx100: F1:0.76308 accs0.74671
2022-03-28 21:30:23,580 - root - INFO : eval: epoch4, idx100: F1:0.74375 accs0.74375
2022-03-28 21:30:36,223 - root - INFO : train: epoch4, idx200: F1:0.75136 accs0.77467
2022-03-28 21:30:36,223 - root - INFO : eval: epoch4, idx200: F1:0.75352 accs0.78125
2022-03-28 21:30:48,796 - root - INFO : train: epoch4, idx300: F1:0.75988 accs0.74013
2022-03-28 21:30:48,796 - root - INFO : eval: epoch4, idx300: F1:0.80126 accs0.80312
2022-03-28 21:31:01,630 - root - INFO : train: epoch4, idx400: F1:0.75254 accs0.75987
2022-03-28 21:31:01,630 - root - INFO : eval: epoch4, idx400: F1:0.73548 accs0.74375
2022-03-28 21:31:14,153 - root - INFO : train: epoch4, idx500: F1:0.74627 accs0.74836
2022-03-28 21:31:14,154 - root - INFO : eval: epoch4, idx500: F1:0.75660 accs0.74062
2022-03-28 21:31:27,146 - root - INFO : train: epoch4, idx600: F1:0.75532 accs0.77303
2022-03-28 21:31:27,147 - root - INFO : eval: epoch4, idx600: F1:0.74576 accs0.76562

在train和eval都逐渐收敛
但F1 score和accuracy都存在一定抖动
因此存在问题：无法收敛到最优的点
针对这种情况，采取以下超参数调整办法：
1. 适当降低lr，如0.5->0.3
2. 适当减小batchszie，防止bsz大lr小从而导致收敛到局部最优
3. 增大某些层神经元数量，让网络学到更多、更细致的特征，利于提高F1 score

2022-03-28 22:04:58,611 - root - INFO : batch_size: 512, learning_rate: 0.30, max_epoch: 5, activator: sigmoid, layer_list: [285, 128, 16, 2]
2022-03-28 22:05:08,601 - root - INFO : loading data...
2022-03-28 22:08:57,882 - root - INFO : loaded!
2022-03-28 22:08:57,883 - root - INFO : initialize!
2022-03-28 22:08:57,883 - root - INFO : start training!
2022-03-28 22:09:12,826 - root - INFO : train: epoch0, idx0: F1:0.59854 accs0.42708
2022-03-28 22:09:12,826 - root - INFO : eval: epoch0, idx0: F1:0.61472 accs0.44375
2022-03-28 22:09:26,327 - root - INFO : train: epoch0, idx100: F1:0.00000 accs0.48958
2022-03-28 22:09:26,327 - root - INFO : eval: epoch0, idx100: F1:0.00000 accs0.49375
2022-03-28 22:09:40,055 - root - INFO : train: epoch0, idx200: F1:0.59854 accs0.42708
2022-03-28 22:09:40,055 - root - INFO : eval: epoch0, idx200: F1:0.65828 accs0.49062
2022-03-28 22:09:53,807 - root - INFO : train: epoch0, idx300: F1:0.04000 accs0.50000
2022-03-28 22:09:53,807 - root - INFO : eval: epoch0, idx300: F1:0.11429 accs0.51562
2022-03-28 22:10:07,987 - root - INFO : train: epoch0, idx400: F1:0.72000 accs0.56250
2022-03-28 22:10:07,987 - root - INFO : eval: epoch0, idx400: F1:0.67220 accs0.50625
2022-03-28 22:10:22,278 - root - INFO : train: epoch0, idx500: F1:0.73118 accs0.73958
2022-03-28 22:10:22,278 - root - INFO : eval: epoch0, idx500: F1:0.71955 accs0.69063
2022-03-28 22:10:36,231 - root - INFO : train: epoch0, idx600: F1:0.78462 accs0.70833
2022-03-28 22:10:36,231 - root - INFO : eval: epoch0, idx600: F1:0.69720 accs0.62813
2022-03-28 22:10:50,402 - root - INFO : train: epoch0, idx700: F1:0.68750 accs0.58333
2022-03-28 22:10:50,402 - root - INFO : eval: epoch0, idx700: F1:0.69464 accs0.59062
2022-03-28 22:11:06,157 - root - INFO : train: epoch0, idx800: F1:0.73810 accs0.77083
2022-03-28 22:11:06,158 - root - INFO : eval: epoch0, idx800: F1:0.73616 accs0.74687
2022-03-28 22:11:21,140 - root - INFO : train: epoch0, idx900: F1:0.71111 accs0.72917
2022-03-28 22:11:21,140 - root - INFO : eval: epoch0, idx900: F1:0.75625 accs0.75625
2022-03-28 22:11:35,625 - root - INFO : train: epoch0, idx1000: F1:0.69474 accs0.69792
2022-03-28 22:11:35,625 - root - INFO : eval: epoch0, idx1000: F1:0.80473 accs0.79375
2022-03-28 22:11:50,150 - root - INFO : train: epoch0, idx1100: F1:0.76744 accs0.79167
2022-03-28 22:11:50,150 - root - INFO : eval: epoch0, idx1100: F1:0.71378 accs0.74687
